store_cd,store_nm,address,x,y,sale_avg,x_y_list,parking_200m,parking_500m,parking_1000m,academy_200m,academy_500m,academy_1000m,accommodation_200m,accommodation_500m,accommodation_1000m,bike_count_200m,bike_count_500m,bike_count_1000m,bike_station_200m,bike_station_500m,bike_station_1000m,school_500m,mart_1000m,trdar_cd,apt_avg_ae,apt_avg_price,tot_flpop_co,cnsmr_popltn_co,tot_repop_co,total_subpas,sub_400m,sub_500m,have_sub,con_20m,con_30m,con_40m,total_worker,active_pop,close_cr_dis,have_cr,cr_in_50m,cr_in_100m,cr_in_500m,close_st_dis,have_st,st_in_50m,st_in_500m,st_in_1000m,passenger_sum_50m,passenger_sum_500m,trdar_se_a,trdar_se_r,trdar_se_u,trdar_se_d,school_yn,mart_yn,starbucks_100,starbucks_500,land_use_intensity,official_land_value,building_counts
51464,용산서부이촌점,"서울특별시 용산구 이촌로14길 11-6제1동 제1층 101호(이촌동, 이촌시범아파트)",126.954322442255,37.5270679291601,4000489.777777778,"[126.954322442255, 37.5270679291601]",0,0,30,0,1,30,0,1,18,16218.0,16218.0,146271.0,20.0,20.0,120.0,0,0,1000069,58.0,387698359.0,317100,146885.8173975599,1875,8532.47435897436,0,0,0,1,1,1,114.0,920,88,0,0,2,6,70,0,0,14,84,0.0,914819.0,1,0,0,0,0,0,0.0,0.0,51.81,4881824.06,77.0
51501,수서역사1호점,서울특별시 강남구 광평로 지하 270수서역사 지하1층 맞이방층 (수서동),127.101859191018,37.4873889933503,48265977.777777776,"[127.101859191018, 37.4873889933503]",6,9,23,6,8,12,0,0,0,53535.0,53535.0,75281.0,60.0,60.0,120.0,3,1,1001041,62.0,304402414.0,345920,161407.30462483477,1471,30052.384615384617,0,0,0,4,5,5,1016.0,103,14,1,5,8,59,29,1,4,32,53,567345.0,6993524.0,1,0,0,0,1,1,1.0,1.0,193.2,6486486.53,10.0
51531,중랑스마트빌점,"서울특별시 중랑구 망우로36길 26B동 101호(상봉동, 스마트빌)",127.078420175492,37.5933244402416,1605038.4444444445,"[127.078420175492, 37.5933244402416]",4,22,73,3,39,154,5,14,47,51213.0,116659.0,477773.0,28.0,93.0,373.0,2,0,1001329,37.0,131474045.0,520962,221950.96654241503,1458,21302.25641025641,1,1,1,1,1,1,385.0,1872,52,1,1,2,63,172,0,0,37,184,0.0,6017842.0,1,0,0,0,1,0,0.0,1.0,138.0,3048558.81,157.0
51579,명륜카페점,서울특별시 종로구 대학로11길 29(명륜4가),126.99991305192,37.5820692517768,3049938.222222222,"[126.99991305192, 37.5820692517768]",5,53,106,8,42,93,4,15,44,64210.0,173556.0,322009.0,50.0,158.0,336.0,6,2,1001242,42.0,152628083.0,961153,41309.06041475001,629,7421.692307692308,0,0,0,1,1,1,12418.0,233,125,0,0,0,55,102,0,0,48,137,0.0,14546653.0,0,0,0,1,1,1,0.0,6.0,113.98,4629951.6,125.0
51711,약수시장점,서울특별시 중구 다산로8길 20외 5필지 1층(신당동),127.01078581953,37.552715126337,2991371.777777778,"[127.01078581953, 37.552715126337]",3,15,50,15,51,124,1,7,23,17661.0,35752.0,83007.0,28.0,88.0,215.0,3,1,1000038,47.0,155018621.0,204676,221876.0362676148,664,27971.410256410258,2,2,1,0,1,1,12418.0,1785,88,0,0,1,69,74,0,0,36,174,0.0,3972916.0,0,0,0,1,1,1,0.0,1.0,187.53,4558156.95,59.0
51736,미아성우점,"서울특별시 강북구 삼양로24길 19101동상가103호(미아동, 현대성우아파트)",127.02248141752,37.6175056036369,2144968.777777778,"[127.02248141752, 37.6175056036369]",0,5,60,10,66,266,3,9,33,12966.0,30874.0,121774.0,20.0,68.0,186.0,4,1,1000329,51.0,141701667.0,1447825,221876.0362676148,2756,27971.410256410258,2,2,1,0,0,0,179.0,1413,21,1,1,2,61,76,0,0,35,195,0.0,4448335.0,0,1,0,0,1,1,0.0,1.0,183.63,2625981.9,255.0
51767,수서역사5호점,서울특별시 강남구 광평로 지하 270지하2층 맞이방 내 일부(승강장입구)(수서동),127.101859191018,37.4873889933503,25359913.333333332,"[127.101859191018, 37.4873889933503]",6,9,23,6,8,12,0,0,0,53535.0,53535.0,75281.0,60.0,60.0,120.0,3,1,1001041,62.0,304402414.0,345920,373310.1213355148,1471,37416.66666666666,0,0,0,4,5,5,477.0,103,14,1,5,8,59,29,1,4,32,53,567345.0,6993524.0,0,0,0,1,1,1,1.0,1.0,193.2,6486486.53,10.0
51798,돈암하늘채점,서울특별시 성북구 아리랑로75제상가1동 제지1층 제102호,127.013625487132,37.598830255568,2646154.5555555555,"[127.013625487132, 37.598830255568]",1,12,57,9,70,308,0,2,34,10408.0,29468.0,200233.0,20.0,60.0,254.0,3,1,1001339,55.0,192902888.0,179770,231219.8415166198,1061,10037.02564102564,2,2,1,0,0,0,386.0,1540,66,0,0,3,80,56,1,2,93,246,22168.0,4350988.0,1,0,0,0,1,1,0.0,0.0,212.36,2777341.94,93.0
52690,명동롯데점,서울특별시 중구 명동길 3 (명동1가),126.982458901526,37.5637405396691,15224906.444444444,"[126.982458901526, 37.5637405396691]",17,91,339,0,33,209,7,81,284,0.0,112500.0,595163.0,0.0,144.0,628.0,0,0,1001492,113.0,603583081.0,3569497,134477.3639156699,1104,23815.23076923077,0,0,0,1,1,1,26.0,14,19,1,1,3,163,52,0,0,42,168,0.0,20585939.0,1,0,0,0,0,0,1.0,15.0,437.88,61189613.06,173.0
52754,광희본점,서울특별시 중구 마른내로 1461층1호,127.004172304234,37.5645558191847,5119350.444444444,"[127.004172304234, 37.5645558191847]",10,52,196,1,17,67,22,80,177,17227.0,80046.0,357530.0,20.0,90.0,435.0,1,0,1001205,46.0,86000000.0,417823,98008.79924338484,406,9133.307692307691,2,2,1,1,1,1,22.0,223,20,1,4,9,133,82,0,0,37,119,0.0,6003896.0,0,1,0,0,1,0,0.0,2.0,209.63,7853712.46,229.0
